containerID	companyID	arrivalMode	departureMode
1001	2	2	5
1002	5	3	4
1003	4	3	4
1004	5	3	6
1005	3	2	4
1006	1	1	5
1007	5	1	6
1008	5	3	4
1009	4	1	4
1010	1	2	5
1011	5	1	5
1012	2	1	6
1013	5	2	4
1014	3	1	4
1015	5	2	6
1016	3	3	4
1017	4	1	4
1018	1	1	5
1019	2	2	4
1020	5	1	4
1021	3	3	4
1022	3	3	6
1023	1	2	6
1024	4	1	4
1025	2	3	4
1026	2	2	4
1027	3	1	4
1028	1	3	5
1029	4	1	6
1030	3	3	4
1031	1	1	4
1032	3	3	4
1033	2	3	5
1034	1	1	5
1035	2	3	4
1036	2	3	4
1037	4	1	6
1038	1	1	5
1039	5	1	4
1040	3	2	4
1041	3	2	4
1042	1	2	5
1043	4	1	4
1044	1	1	5
1045	5	3	5
1046	2	3	6
1047	4	1	6
1048	5	1	4
1049	4	1	6
1050	4	3	6
1051	2	2	4
1052	4	1	5
1053	2	3	5
1054	2	3	4
1055	1	3	6
1056	2	3	6
1057	4	2	5
1058	4	3	4
1059	1	2	5
1060	5	1	6
1061	5	1	4
1062	2	1	6
1063	1	1	4
1064	3	2	6
1065	5	2	4
1066	1	2	6
1067	1	3	6
1068	5	1	5
1069	3	2	4
1070	1	3	5
1071	2	2	5
1072	5	1	5
1073	2	3	4
1074	2	2	5
1075	5	3	6
1076	3	2	6
1077	5	1	6
1078	5	3	4
1079	3	1	4
1080	4	2	6
1081	2	3	4
1082	1	2	6
1083	1	1	5
1084	3	1	5
1085	1	2	5
1086	3	2	4
1087	3	3	6
1088	4	3	5
1089	5	1	4
1090	3	3	4
1091	4	2	5
1092	1	2	4
1093	2	1	4
1094	5	3	6
1095	5	1	5
1096	2	3	5
1097	2	2	4
1098	5	1	6
1099	4	3	5
1100	2	2	6
